onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
33.204	n/a	16602	seqLearning_start	91	n/a	n/a	8
39.452	n/a	19726	learningBlock_1	31	n/a	n/a	8
39.482	n/a	19741	dot_no1_ON	11	n/a	n/a	8
40.072	n/a	20036	dot_no1_OFF	21	n/a	n/a	8
41.392	n/a	20696	dot_no6_ON	16	n/a	n/a	8
41.972	n/a	20986	dot_no6_OFF	26	n/a	n/a	8
43.292	n/a	21646	dot_no4_ON	14	n/a	n/a	8
43.872	n/a	21936	dot_no4_OFF	24	n/a	n/a	8
45.192	n/a	22596	dot_no2_ON	12	n/a	n/a	8
45.772	n/a	22886	dot_no2_OFF	22	n/a	n/a	8
47.092	n/a	23546	dot_no7_ON	17	n/a	n/a	8
47.672	n/a	23836	dot_no7_OFF	27	n/a	n/a	8
48.992	n/a	24496	dot_no3_ON	13	n/a	n/a	8
49.572	n/a	24786	dot_no3_OFF	23	n/a	n/a	8
50.892	n/a	25446	dot_no8_ON	18	n/a	n/a	8
51.472	n/a	25736	dot_no8_OFF	28	n/a	n/a	8
52.792	n/a	26396	dot_no5_ON	15	n/a	n/a	8
53.372	n/a	26686	dot_no5_OFF	25	n/a	n/a	8
54.692	n/a	27346	dot_no2_ON	12	n/a	n/a	8
55.272	n/a	27636	dot_no2_OFF	22	n/a	n/a	8
56.592	n/a	28296	dot_no7_ON	17	n/a	n/a	8
57.172	n/a	28586	dot_no7_OFF	27	1-6-8-4-2-7-5-2-3-1	1-6-4-2-7-3-8-5-2-7	8
83.716	n/a	41858	learningBlock_2	32	n/a	n/a	8
83.722	n/a	41861	dot_no1_ON	11	n/a	n/a	8
84.302	n/a	42151	dot_no1_OFF	21	n/a	n/a	8
85.622	n/a	42811	dot_no6_ON	16	n/a	n/a	8
86.202	n/a	43101	dot_no6_OFF	26	n/a	n/a	8
87.522	n/a	43761	dot_no4_ON	14	n/a	n/a	8
88.102	n/a	44051	dot_no4_OFF	24	n/a	n/a	8
89.422	n/a	44711	dot_no2_ON	12	n/a	n/a	8
90.002	n/a	45001	dot_no2_OFF	22	n/a	n/a	8
91.322	n/a	45661	dot_no7_ON	17	n/a	n/a	8
91.902	n/a	45951	dot_no7_OFF	27	n/a	n/a	8
93.222	n/a	46611	dot_no3_ON	13	n/a	n/a	8
93.802	n/a	46901	dot_no3_OFF	23	n/a	n/a	8
95.122	n/a	47561	dot_no8_ON	18	n/a	n/a	8
95.702	n/a	47851	dot_no8_OFF	28	n/a	n/a	8
97.022	n/a	48511	dot_no5_ON	15	n/a	n/a	8
97.602	n/a	48801	dot_no5_OFF	25	n/a	n/a	8
98.922	n/a	49461	dot_no2_ON	12	n/a	n/a	8
99.512	n/a	49756	dot_no2_OFF	22	n/a	n/a	8
100.832	n/a	50416	dot_no7_ON	17	n/a	n/a	8
101.412	n/a	50706	dot_no7_OFF	27	1-6-4-2-7-5-8-3-6-2	1-6-4-2-7-3-8-5-2-7	8
125.956	n/a	62978	learningBlock_3	33	n/a	n/a	8
125.964	n/a	62982	dot_no1_ON	11	n/a	n/a	8
126.544	n/a	63272	dot_no1_OFF	21	n/a	n/a	8
127.864	n/a	63932	dot_no6_ON	16	n/a	n/a	8
128.444	n/a	64222	dot_no6_OFF	26	n/a	n/a	8
129.764	n/a	64882	dot_no4_ON	14	n/a	n/a	8
130.344	n/a	65172	dot_no4_OFF	24	n/a	n/a	8
131.664	n/a	65832	dot_no2_ON	12	n/a	n/a	8
132.244	n/a	66122	dot_no2_OFF	22	n/a	n/a	8
133.564	n/a	66782	dot_no7_ON	17	n/a	n/a	8
134.144	n/a	67072	dot_no7_OFF	27	n/a	n/a	8
135.464	n/a	67732	dot_no3_ON	13	n/a	n/a	8
136.044	n/a	68022	dot_no3_OFF	23	n/a	n/a	8
137.364	n/a	68682	dot_no8_ON	18	n/a	n/a	8
137.944	n/a	68972	dot_no8_OFF	28	n/a	n/a	8
139.264	n/a	69632	dot_no5_ON	15	n/a	n/a	8
139.844	n/a	69922	dot_no5_OFF	25	n/a	n/a	8
141.164	n/a	70582	dot_no2_ON	12	n/a	n/a	8
141.744	n/a	70872	dot_no2_OFF	22	n/a	n/a	8
143.064	n/a	71532	dot_no7_ON	17	n/a	n/a	8
143.644	n/a	71822	dot_no7_OFF	27	1-6-4-2-7-5-8-3-1-7	1-6-4-2-7-3-8-5-2-7	8
187.906	n/a	93953	learningBlock_4	34	n/a	n/a	8
187.914	n/a	93957	dot_no1_ON	11	n/a	n/a	8
188.494	n/a	94247	dot_no1_OFF	21	n/a	n/a	8
189.814	n/a	94907	dot_no6_ON	16	n/a	n/a	8
190.394	n/a	95197	dot_no6_OFF	26	n/a	n/a	8
191.716	n/a	95858	dot_no4_ON	14	n/a	n/a	8
192.294	n/a	96147	dot_no4_OFF	24	n/a	n/a	8
193.616	n/a	96808	dot_no2_ON	12	n/a	n/a	8
194.204	n/a	97102	dot_no2_OFF	22	n/a	n/a	8
195.524	n/a	97762	dot_no7_ON	17	n/a	n/a	8
196.106	n/a	98053	dot_no7_OFF	27	n/a	n/a	8
197.424	n/a	98712	dot_no3_ON	13	n/a	n/a	8
198.004	n/a	99002	dot_no3_OFF	23	n/a	n/a	8
199.334	n/a	99667	dot_no8_ON	18	n/a	n/a	8
199.914	n/a	99957	dot_no8_OFF	28	n/a	n/a	8
201.234	n/a	100617	dot_no5_ON	15	n/a	n/a	8
201.826	n/a	100913	dot_no5_OFF	25	n/a	n/a	8
203.146	n/a	101573	dot_no2_ON	12	n/a	n/a	8
203.724	n/a	101862	dot_no2_OFF	22	n/a	n/a	8
205.044	n/a	102522	dot_no7_ON	17	n/a	n/a	8
205.626	n/a	102813	dot_no7_OFF	27	1-6-4-7-3-2-5-8-4-1	1-6-4-2-7-3-8-5-2-7	8
226.638	n/a	113319	learningBlock_5	35	n/a	n/a	8
226.646	n/a	113323	dot_no1_ON	11	n/a	n/a	8
227.226	n/a	113613	dot_no1_OFF	21	n/a	n/a	8
228.546	n/a	114273	dot_no6_ON	16	n/a	n/a	8
229.126	n/a	114563	dot_no6_OFF	26	n/a	n/a	8
230.446	n/a	115223	dot_no4_ON	14	n/a	n/a	8
231.026	n/a	115513	dot_no4_OFF	24	n/a	n/a	8
232.346	n/a	116173	dot_no2_ON	12	n/a	n/a	8
232.926	n/a	116463	dot_no2_OFF	22	n/a	n/a	8
234.246	n/a	117123	dot_no7_ON	17	n/a	n/a	8
234.826	n/a	117413	dot_no7_OFF	27	n/a	n/a	8
236.146	n/a	118073	dot_no3_ON	13	n/a	n/a	8
236.726	n/a	118363	dot_no3_OFF	23	n/a	n/a	8
238.046	n/a	119023	dot_no8_ON	18	n/a	n/a	8
238.626	n/a	119313	dot_no8_OFF	28	n/a	n/a	8
239.946	n/a	119973	dot_no5_ON	15	n/a	n/a	8
240.526	n/a	120263	dot_no5_OFF	25	n/a	n/a	8
241.846	n/a	120923	dot_no2_ON	12	n/a	n/a	8
242.426	n/a	121213	dot_no2_OFF	22	n/a	n/a	8
243.746	n/a	121873	dot_no7_ON	17	n/a	n/a	8
244.336	n/a	122168	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
262.338	n/a	131169	seqLearning_stop	50	n/a	n/a	8
265.925	n/a	132962.5	boundary	boundary	n/a	n/a	8
